
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2012-09-09,22-210,WAS,@,NOR,W 40-32,*,19,26,73.08,320,2,0,139.9,12.31,13.85,9,42,4.67,0,0,0
2,2,2012-09-16,22-217,WAS,@,STL,L 28-31,*,20,29,68.97,206,1,1,86.3,7.10,6.24,11,82,7.45,2,2,12
3,3,2012-09-23,22-224,WAS,,CIN,L 31-38,*,21,34,61.76,221,1,0,90.4,6.50,7.09,13,74,5.69,1,1,6
4,4,2012-09-30,22-231,WAS,@,TAM,W 24-22,*,26,35,74.29,323,0,0,102.4,9.23,9.23,8,36,4.50,1,1,6
5,5,2012-10-07,22-238,WAS,,ATL,L 17-24,*,10,15,66.67,91,0,0,82.9,6.07,6.07,1,7,7.00,0,0,0
6,6,2012-10-14,22-245,WAS,,MIN,W 38-26,*,17,22,77.27,182,1,1,97.2,8.27,7.14,13,138,10.62,2,2,12
7,7,2012-10-21,22-252,WAS,@,NYG,L 23-27,*,20,28,71.43,258,2,1,108.9,9.21,9.04,9,89,9.89,0,0,0
8,8,2012-10-28,22-259,WAS,@,PIT,L 12-27,*,16,34,47.06,177,1,0,72.8,5.21,5.79,6,8,1.33,0,0,0
9,9,2012-11-04,22-266,WAS,,CAR,L 13-21,*,23,39,58.97,215,0,0,74.2,5.51,5.51,11,53,4.82,0,0,0
10,10,2012-11-18,22-280,WAS,,PHI,W 31-6,*,14,15,93.33,200,4,0,158.3,13.33,18.67,12,84,7.00,0,0,0
11,11,2012-11-22,22-284,WAS,@,DAL,W 38-31,*,19,27,70.37,304,4,1,131.8,11.26,12.56,7,29,4.14,0,0,0
12,12,2012-12-03,22-295,WAS,,NYG,W 17-16,*,13,21,61.90,163,1,0,101.9,7.76,8.71,5,72,14.40,0,0,0
13,13,2012-12-09,22-301,WAS,,BAL,W 31-28,*,15,26,57.69,242,1,0,101.8,9.31,10.08,7,34,4.86,0,0,0
14,15,2012-12-23,22-315,WAS,@,PHI,W 27-20,*,16,24,66.67,198,2,1,102.4,8.25,8.04,2,4,2.00,0,0,0
15,16,2012-12-30,22-322,WAS,,DAL,W 28-18,*,9,18,50.00,100,0,0,66.9,5.56,5.56,6,63,10.50,1,1,6
,,15 Games,,,,,9-6-0,,258,393,65.65,3200,20,5,102.4,8.14,8.59,120,815,6.79,7,7,42
