
,,,,,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,G#,Date,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts
1,1,2011-09-11,31-019,WAS,,NYG,W 28-14,*,21,34,61.76,305,2,0,110.5,8.97,10.15,0,0,,0,0,0
2,2,2011-09-18,31-026,WAS,,ARI,W 22-21,*,25,43,58.14,291,2,2,74.9,6.77,5.60,4,-5,-1.25,0,0,0
3,3,2011-09-26,31-034,WAS,@,DAL,L 16-18,*,22,37,59.46,250,1,1,77.5,6.76,6.08,1,6,6.00,0,0,0
4,4,2011-10-02,31-040,WAS,@,STL,W 17-10,*,15,29,51.72,143,1,2,48.5,4.93,2.52,5,2,0.40,0,0,0
5,5,2011-10-16,31-054,WAS,,PHI,L 13-20,*,9,22,40.91,143,0,4,23.7,6.50,-1.68,0,0,,0,0,0
6,9,2011-11-13,31-082,WAS,@,MIA,L 9-20,*,21,32,65.63,215,0,2,58.7,6.72,3.91,0,0,,0,0,0
7,10,2011-11-20,31-089,WAS,,DAL,L 24-27,*,25,38,65.79,292,2,1,95.5,7.68,7.55,3,10,3.33,1,1,6
8,11,2011-11-27,31-096,WAS,@,SEA,W 23-17,*,26,35,74.29,314,2,2,96.6,8.97,7.54,5,-1,-0.20,0,0,0
9,12,2011-12-04,31-103,WAS,,NYJ,L 19-34,*,19,46,41.30,221,0,1,47.5,4.80,3.83,0,0,,0,0,0
10,13,2011-12-11,31-110,WAS,,NWE,L 27-34,*,19,32,59.38,252,2,1,92.2,7.88,7.72,1,0,0.00,0,0,0
11,14,2011-12-18,31-117,WAS,@,NYG,W 23-10,*,15,24,62.50,185,1,2,65.5,7.71,4.79,1,-1,-1.00,0,0,0
12,15,2011-12-24,31-123,WAS,,MIN,L 26-33,*,26,41,63.41,284,2,1,89.9,6.93,6.80,0,0,,0,0,0
13,16,2012-01-01,31-131,WAS,@,PHI,L 10-34,*,22,45,48.89,256,1,1,64.7,5.69,5.13,0,0,,0,0,0
,,13 Games,,,,,5-8-0,,265,458,57.86,3151,16,20,72.4,6.88,5.61,20,11,0.55,1,1,6
